Вид транспорта;Класс ТС;Транспорт;Пробег,км;Пробег по ПЛ, км;delta Пробег;delta Пробег, % (Пробег/ПЛ);Время в наряде, ч;Время ДВС, ч;Время работы по ПЛ, ч;delta Работа;delta Работа, % (ДВС/Пробег ПЛ);Факт. расход, л;Расход по ПЛ, л;delta Расход;delta Расход, % (Факт/ПЛ);Заправки, л;Заправки по ПЛ, л;delta Заправки;delta Заправки, % (Факт/ПЛ);Время ДО, ч;Работа ДО по ПЛ, ч;delta ДО;delta ДО, % (Факт/ПЛ)
Спецтехника;Снегоболотоход;Газ-3409_сбход_ам9503_085009;0,0;0,0;0,0;0,00000000000;11,0;0,00;0,00;0,0;0,000000000000;0,0;42,8;-42,8;1,0000000000000;0,0;117,8;-117,8;1,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-60_169440;0,0;0,0;0,0;0,00000000000;120,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;68,2;0,0;68,2;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-100_173528;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,7;0,0;0,7;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-200_166459;0,0;0,0;0,0;0,00000000000;96,0;0,00;0,00;0,0;0,000000000000;0,1;0,0;0,1;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-200_173512;0,0;0,0;0,0;0,00000000000;139,0;0,00;0,00;0,0;0,000000000000;508,4;0,0;508,4;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;ДЭС;ДЭС-200_175840;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;МТЛБ_7_ер1645_082930;0,0;0,0;0,0;0,00000000000;2,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;МТЛБ_23_ох7496 _083765;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;МТЛБ_29_ох7381_083756;0,0;0,0;0,0;0,00000000000;47,3;0,00;0,00;0,0;0,000000000000;0,0;54,6;-54,6;1,0000000000000;0,0;81,3;-81,3;1,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Снегоболотоход;МТЛБ_131_мм0529_083894;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_02_ер9868_167097;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;50,5;0,0;50,5;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_05_от4076_155723;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_08_та6019_159979;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_10_ер4024_165419;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;82,3;0,0;82,3;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_14_тв0969_156815;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;48,6;0,0;48,6;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_15_тв0928_156612;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_17_от4190_156224;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_22_тт2338_154116;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_23_от2655_160224;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;79,0;0,0;79,0;0,0000000000000;180,4;0,0;180,4;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_24_ер1643_161647;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;250,1;0,0;250,1;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Буровая установка;МТЧ_урб_25_ох7441_168779;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Электростанция;Электростанция ENERGO ED 17_170403;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
Спецтехника;Бульдозер;ZOOMLION 65 8734ак16;0,0;0,0;0,0;0,00000000000;0,0;0,00;0,00;0,0;0,000000000000;0,0;0,0;0,0;0,0000000000000;0,0;0,0;0,0;0,0000000000000;Нет ДО;0,0;-;-
